translation,reference,source,translation_clean,reference_clean,source_clean
 You need to find the book called Hollywood Connection.,Need to find a book named Hollywood Connection.,Precisa encontrar o livro chamado Hollywood Connection, you need to find the book called hollywood connection ,need to find a book named hollywood connection ,precisa encontrar o livro chamado hollywood connection
" The girl is more beautiful and is smiling, ensuring the girl is more new outside.",The older girl is laughing and holding the younger girl outside.,A menina mais velha está rindo e segurando a menina mais nova fora, the girl is more beautiful and is smiling ensuring the girl is more new outside ,the older girl is laughing and holding the younger girl outside ,a menina mais velha está rindo e segurando a menina mais nova fora
 A list of names is copied in the base.,A list of names is being carved around the base.,Uma lista de nomes é esculpida em torno da base., a list of names is copied in the base ,a list of names is being carved around the base ,uma lista de nomes é esculpida em torno da base 
 Where is the cabravelha?,Where's the old goat?,Onde está a cabra velha?, where is the cabravelha ,where s the old goat ,onde está a cabra velha 
" From there, he can see the distance.",From there? He could see Africa at a distance.,"De lá,? ele pôde ver a África à distância.", from there he can see the distance ,from there he could see africa at a distance ,de lá ele pôde ver a áfrica à distância 
 Two small men play in a shopping cart in a parking lot.,Two small boys play inside of a shopping cart in a parking lot.,Dois meninos pequenos jogam em um carrinho de compras em um estacionamento., two small men play in a shopping cart in a parking lot ,two small boys play inside of a shopping cart in a parking lot ,dois meninos pequenos jogam em um carrinho de compras em um estacionamento 
 We don't have to resist our club.,We don't have to give up on our club.,Nós não temos que desistir do nosso clube., we don t have to resist our club ,we don t have to give up on our club ,nós não temos que desistir do nosso clube 
 Everyone lived together as a Manchester?,They all met in Manchester.,Todos eles se reuniram em Manchester., everyone lived together as a manchester ,they all met in manchester ,todos eles se reuniram em manchester 
 Let's take it to the particular desk.,We will take you to my private office.,Nós vamos levá-la para o meu escritório particular., let s take it to the particular desk ,we will take you to my private office ,nós vamos levá la para o meu escritório particular 
 a shadow that leaves fear in your heart.,A shadow that brings fear in your heart.,uma sombra que deixa medo em seu coração, a shadow that leaves fear in your heart ,a shadow that brings fear in your heart ,uma sombra que deixa medo em seu coração
 The fleet was beautiful Red,The affliction was apparent.,O aflito era aparente., the fleet was beautiful red,the affliction was apparent ,o aflito era aparente 
 Don't be technical at the moment as this.,Don't get technical at a time like this.,Não fique técnico em um momento como este., don t be technical at the moment as this ,don t get technical at a time like this ,não fique técnico em um momento como este 
 We have to take this table here.,We have to get this table out of here.,Temos que tirar essa mesa daqui., we have to take this table here ,we have to get this table out of here ,temos que tirar essa mesa daqui 
" And of course, it's not very personalized.","And, of course.. it's actually not customizable.","E, claro,? não é muito personalizável.", and of course it s not very personalized ,and of course it s actually not customizable ,e claro não é muito personalizável 
 The navy rose to grant From the,The rude laugh filled the empty room.,A risada grosseira encheu a sala vazia., the navy rose to grant from the,the rude laugh filled the empty room ,a risada grosseira encheu a sala vazia 
 You are here a little bit.,You came a bit early.,Você está aqui um pouco cedo., you are here a little bit ,you came a bit early ,você está aqui um pouco cedo 
 Antonio was hiding with the bombs!,Anthony kept busy counting pigeons.,Anthony manteve-se ocupado contando pombos., antonio was hiding with the bombs ,anthony kept busy counting pigeons ,anthony manteve se ocupado contando pombos 
 I ran to buy a dress.,I ran to buy tickets.,Eu corri para comprar ingressos., i ran to buy a dress ,i ran to buy tickets ,eu corri para comprar ingressos 
 ... Make sure it ends!,Hold the cover.,Segure a capa., make sure it ends ,hold the cover ,segure a capa 
" They were taken to the other side of the cave, but they didn't find anything.","Did they keep the boy digging?, but he found nothing.","Eles fizeram o garoto continuar cavando?, mas ele não encontrou nada.", they were taken to the other side of the cave but they didn t find anything ,did they keep the boy digging but he found nothing ,eles fizeram o garoto continuar cavando mas ele não encontrou nada 
 We need equipment from the type.,We need equipment like that.,Nós precisamos de equipamentos do tipo., we need equipment from the type ,we need equipment like that ,nós precisamos de equipamentos do tipo 
" 5 hours Pony by myself, I hear aLight Tub",Five beautiful ladies listening to a talk show host.,cinco senhoras bonitas ouvindo um apresentador de talk show., 5 hours pony by myself i hear alight tub,five beautiful ladies listening to a talk show host ,cinco senhoras bonitas ouvindo um apresentador de talk show 
 I am the only one who sobered.,You're the only one left.,Você é o único que sobrou., i am the only one who sobered ,you re the only one left ,você é o único que sobrou 
aientunix,I told you.,Eu já te disse.,aientunix,i told you ,eu já te disse 
 Salvador Damano Fature Tradizional,Savior of the traditional manufacturing.,Salvador da manufatura tradicional, salvador damano fature tradizional,savior of the traditional manufacturing ,salvador da manufatura tradicional
" any one wants to go up in the sea, he starts down, not on top.","Anyone who wants to climb a tree starts from the bottom, not at the top.","Qualquer um que queira subir em uma árvore começa abaixo, não no topo.", any one wants to go up in the sea he starts down not on top ,anyone who wants to climb a tree starts from the bottom not at the top ,qualquer um que queira subir em uma árvore começa abaixo não no topo 
 and herusions,She wants to be alone.,Ela quer ficar sozinha., and herusions,she wants to be alone ,ela quer ficar sozinha 
 He was lying and difficult to move.,He was lying and facing difficulty to move.,Ele estava mentindo e difícil de se mover., he was lying and difficult to move ,he was lying and facing difficulty to move ,ele estava mentindo e difícil de se mover 
