,transcription,sentence,translation,transcription_clean,sentence_clean,translation_clean
360, Por que você diz isso?,Por que você diz isso?,Why do you say that?, por que você diz isso ,por que você diz isso ,why do you say that 
361, Uma criança a regar plantas em um quintal.,uma criança regar plantas em um quintal,A child is watering the plants in the backyard., uma criança a regar plantas em um quintal ,uma criança regar plantas em um quintal,a child is watering the plants in the backyard 
362, Uma mãe e seus dois filhos sentam-se para descansar.,Uma mãe e seus dois filhos sentam-se para descansar,A mother and her two children sit down to rest., uma mãe e seus dois filhos sentam se para descansar ,uma mãe e seus dois filhos sentam se para descansar,a mother and her two children sit down to rest 
363, Crianças e adultos nadam na grande piscina com escada vermelha.,Crianças e adultos nadam na grande piscina com escada vermelha,Children and adults swim in the large pool with a red ladder., crianças e adultos nadam na grande piscina com escada vermelha ,crianças e adultos nadam na grande piscina com escada vermelha,children and adults swim in the large pool with a red ladder 
364, Classifique o zero ponto de conflito de visões.,Classifique um zero ponto de conflito de visões,Rate a point of view with zero conflict., classifique o zero ponto de conflito de visões ,classifique um zero ponto de conflito de visões,rate a point of view with zero conflict 
365, O homem está empurrando seu carrinho de lanche pintado de azul pela rua.,Um homem está empurrando seu carrinho de lanche pintado de azul pela rua.,A man is pushing his blue-painted snack cart down the street., o homem está empurrando seu carrinho de lanche pintado de azul pela rua ,um homem está empurrando seu carrinho de lanche pintado de azul pela rua ,a man is pushing his blue painted snack cart down the street 
366, Eu preciso de mais um.,Eu preciso de mais um.,I need one more., eu preciso de mais um ,eu preciso de mais um ,i need one more 
367, Um garoto salta uma pedra em um riacho.,Um garoto salta uma pedra em um riacho.,A boy jumps from the rock into a stream., um garoto salta uma pedra em um riacho ,um garoto salta uma pedra em um riacho ,a boy jumps from the rock into a stream 
368, As pessoas andam por um caminho em uma aldeia na Índia.,As pessoas andam por um caminho em uma aldeia na Índia.,People walk through a village path in India., as pessoas andam por um caminho em uma aldeia na índia ,as pessoas andam por um caminho em uma aldeia na índia ,people walk through a village path in india 
369, Duas raparigas que prendem em retratos de uma preguiça e uma multidão dos povos.,Duas raparigas que prendem retratos de uma preguiça em uma multidão dos povos.,Two young girls are holding pictures of a sloth in the middle of the crowd., duas raparigas que prendem em retratos de uma preguiça e uma multidão dos povos ,duas raparigas que prendem retratos de uma preguiça em uma multidão dos povos ,two young girls are holding pictures of a sloth in the middle of the crowd 
370," Aparentemente, são os bolinhos que fazem com que o sumpado seja tão bom.","Aparentemente, são os bolinhos que fazem com que o ensopado seja tão bom.","Apparently, the dumplings that make the stew so good.", aparentemente são os bolinhos que fazem com que o sumpado seja tão bom ,aparentemente são os bolinhos que fazem com que o ensopado seja tão bom ,apparently the dumplings that make the stew so good 
371," Por favor, carteiro.","Por favor, carteiro.","Please, postman.", por favor carteiro ,por favor carteiro ,please postman 
372, Encontre os horários dos filmes no Bowtie Cinemas.,Encontre os horários dos filmes no Bow Tie Cinemas.,Find movie times at Bow Tie Cinemas., encontre os horários dos filmes no bowtie cinemas ,encontre os horários dos filmes no bow tie cinemas ,find movie times at bow tie cinemas 
373, Eu mesmo não ouvi nada disso.,Eu mesmo não ouvi nada disso.,I didn't hear any of that., eu mesmo não ouvi nada disso ,eu mesmo não ouvi nada disso ,i didn t hear any of that 
374, Não organize tudo o que é difícil de fazer.,Não organize tudo o que é difícil de fazer.,Don't organize what is difficult to do., não organize tudo o que é difícil de fazer ,não organize tudo o que é difícil de fazer ,don t organize what is difficult to do 
375, Ninguém sabe disso.,Ninguém sabe disso,No one knows that., ninguém sabe disso ,ninguém sabe disso,no one knows that 
376, Eu tenho procurado por toda a cidade tentando encontrar você.,Eu tenho procurado por toda a cidade tentando encontrar você.,I've been looking all over the city trying to find you., eu tenho procurado por toda a cidade tentando encontrar você ,eu tenho procurado por toda a cidade tentando encontrar você ,i ve been looking all over the city trying to find you 
377, Homem que trabalha no andame e no local de trabalho da construção,Homem que trabalha no andaime no local de trabalho da construção.,A man is working on scaffolding at the construction workplace., homem que trabalha no andame e no local de trabalho da construção,homem que trabalha no andaime no local de trabalho da construção ,a man is working on scaffolding at the construction workplace 
378, Nós pedimos uma pizza.,Nós pedimos uma pizza?,Did we order a pizza?, nós pedimos uma pizza ,nós pedimos uma pizza ,did we order a pizza 
379," Mãe de mãe e filha, prato de cobre.","Mãe de mãe e filha, prato de cobre.",As mother as daughter., mãe de mãe e filha prato de cobre ,mãe de mãe e filha prato de cobre ,as mother as daughter 
380, O motorista de carro de corrida está segurando um troféu.,Um motorista de carro de corrida está segurando um troféu.,A race car driver is holding a trophy., o motorista de carro de corrida está segurando um troféu ,um motorista de carro de corrida está segurando um troféu ,a race car driver is holding a trophy 
381," de acordo com o sinal, sem estacionamento hoje por causa da filmagem do filme.",De acordo com o sinal? sem estacionamento hoje por causa da filmagem do filme.,According to the signal? No parking today because of the shooting of the film., de acordo com o sinal sem estacionamento hoje por causa da filmagem do filme ,de acordo com o sinal sem estacionamento hoje por causa da filmagem do filme ,according to the signal no parking today because of the shooting of the film 
382, Um homem de uniforme carregando um arbusto,Um homem de uniforme carregando um arbusto.,A man in uniform is carrying a bush., um homem de uniforme carregando um arbusto,um homem de uniforme carregando um arbusto ,a man in uniform is carrying a bush 
383, Há cinco meninos girando em um merry-go-round,Há cinco meninos girando em um merrygoround.,There are five boys spinning around in a merry-go-round., há cinco meninos girando em um merry go round,há cinco meninos girando em um merrygoround ,there are five boys spinning around in a merry go round 
384, Serviço de emprego da cidade de Taipei,Serviço de Emprego da Cidade de Taipei,Taipei City’s Employment Service., serviço de emprego da cidade de taipei,serviço de emprego da cidade de taipei,taipei city s employment service 
385, A fofoca está terminada. Abra a honra.,"A fofoca está terminada, abra a honra!","The gossip is over, forget your honor!", a fofoca está terminada abra a honra ,a fofoca está terminada abra a honra ,the gossip is over forget your honor 
386, Este é um menino e seu pai jogando um jogo de tabuleiro.,Este é um menino e seu pai jogando um jogo de tabuleiro.,These are a boy and his father playing a board game., este é um menino e seu pai jogando um jogo de tabuleiro ,este é um menino e seu pai jogando um jogo de tabuleiro ,these are a boy and his father playing a board game 
387, Embora não seja concluído.,Embora não seja concluído,Although it's not completed., embora não seja concluído ,embora não seja concluído,although it s not completed 
388, Parece que ela pode manter caty na ponta dos pés. Sai dela!,Parece que ela pode manter Kathy na ponta dos pés.,It looks like she kept Kathy on tiptoe., parece que ela pode manter caty na ponta dos pés sai dela ,parece que ela pode manter kathy na ponta dos pés ,it looks like she kept kathy on tiptoe 
389, Casal jovem trajes formais de mãos adas.,Casal jovem em trajes formais de mãos dadas,Young couple in formalwear holding hands., casal jovem trajes formais de mãos adas ,casal jovem em trajes formais de mãos dadas,young couple in formalwear holding hands 
390, Como vai ser o tempo? 23º na cidade de Valor.,Como vai ser o tempo? o vigésimo terceiro na cidade de Valor,How will be the weather? Up to twenty-three., como vai ser o tempo 23o na cidade de valor ,como vai ser o tempo o vigésimo terceiro na cidade de valor,how will be the weather up to twenty three 
391, Uma criança brincando em uma scooter vermelha,Uma criança brincando em uma scooter vermelha.,A child playing on a red scooter., uma criança brincando em uma scooter vermelha,uma criança brincando em uma scooter vermelha ,a child playing on a red scooter 
