,hypothesis,reference,translation,hypothesis_clean,reference_clean,translation_clean
398, Nós não temos que desistir do nosso clube.,Nós não temos que desistir do nosso clube.,We don't have to give up on our club., nós não temos que desistir do nosso clube ,nós não temos que desistir do nosso clube ,we don t have to give up on our club 
399, Todos eles se reuniram em Manchester.,Todos eles se reuniram em Manchester.,They all met in Manchester., todos eles se reuniram em manchester ,todos eles se reuniram em manchester ,they all met in manchester 
400, Nós vamos levá-la para o meu escritório particular.,Nós vamos levá-la para o meu escritório particular.,We will take you to my private office., nós vamos levá la para o meu escritório particular ,nós vamos levá la para o meu escritório particular ,we will take you to my private office 
401, Uma sombra que deixa medo em seu coração.,uma sombra que deixa medo em seu coração,A shadow that brings fear in your heart., uma sombra que deixa medo em seu coração ,uma sombra que deixa medo em seu coração,a shadow that brings fear in your heart 
402, O aflito era aparente.,O aflito era aparente.,The affliction was apparent., o aflito era aparente ,o aflito era aparente ,the affliction was apparent 
403, Não fique técnico em um momento como este.,Não fique técnico em um momento como este.,Don't get technical at a time like this., não fique técnico em um momento como este ,não fique técnico em um momento como este ,don t get technical at a time like this 
404, Temos que tirar essa mesa daqui.,Temos que tirar essa mesa daqui.,We have to get this table out of here., temos que tirar essa mesa daqui ,temos que tirar essa mesa daqui ,we have to get this table out of here 
405," É, claro. Não é muito personalizável.","E, claro,? não é muito personalizável.","And, of course.. it's actually not customizable.", é claro não é muito personalizável ,e claro não é muito personalizável ,and of course it s actually not customizable 
406, A risada grosseira encheu a sala vazia.,A risada grosseira encheu a sala vazia.,The rude laugh filled the empty room., a risada grosseira encheu a sala vazia ,a risada grosseira encheu a sala vazia ,the rude laugh filled the empty room 
407, Você está aqui um pouco cedo.,Você está aqui um pouco cedo.,You came a bit early., você está aqui um pouco cedo ,você está aqui um pouco cedo ,you came a bit early 
408, Antony manteve-se ocupado contando pombos.,Anthony manteve-se ocupado contando pombos.,Anthony kept busy counting pigeons., antony manteve se ocupado contando pombos ,anthony manteve se ocupado contando pombos ,anthony kept busy counting pigeons 
409, Eu corri para comprar ingressos.,Eu corri para comprar ingressos.,I ran to buy tickets., eu corri para comprar ingressos ,eu corri para comprar ingressos ,i ran to buy tickets 
410, Segure a capa.,Segure a capa.,Hold the cover., segure a capa ,segure a capa ,hold the cover 
411," Eles fizeram o garoto continuar cavando, mas ele não encontrou nada.","Eles fizeram o garoto continuar cavando?, mas ele não encontrou nada.","Did they keep the boy digging?, but he found nothing.", eles fizeram o garoto continuar cavando mas ele não encontrou nada ,eles fizeram o garoto continuar cavando mas ele não encontrou nada ,did they keep the boy digging but he found nothing 
412, Nós precisamos de equipamentos do tipo.,Nós precisamos de equipamentos do tipo.,We need equipment like that., nós precisamos de equipamentos do tipo ,nós precisamos de equipamentos do tipo ,we need equipment like that 
413, Cinco senhoras bonitas ouvindo um apresentador de talk show.,cinco senhoras bonitas ouvindo um apresentador de talk show.,Five beautiful ladies listening to a talk show host., cinco senhoras bonitas ouvindo um apresentador de talk show ,cinco senhoras bonitas ouvindo um apresentador de talk show ,five beautiful ladies listening to a talk show host 
414, Você é o único que sobrou.,Você é o único que sobrou.,You're the only one left., você é o único que sobrou ,você é o único que sobrou ,you re the only one left 
415, Eu já te disse.,Eu já te disse.,I told you., eu já te disse ,eu já te disse ,i told you 
416, Salvador da Manufatura Tradicional,Salvador da manufatura tradicional,Savior of the traditional manufacturing., salvador da manufatura tradicional,salvador da manufatura tradicional,savior of the traditional manufacturing 
417," Qualquer um que queira subir em uma árvore começa abaixo, não no topo.","Qualquer um que queira subir em uma árvore começa abaixo, não no topo.","Anyone who wants to climb a tree starts from the bottom, not at the top.", qualquer um que queira subir em uma árvore começa abaixo não no topo ,qualquer um que queira subir em uma árvore começa abaixo não no topo ,anyone who wants to climb a tree starts from the bottom not at the top 
418, Ela quer ficar sozinha.,Ela quer ficar sozinha.,She wants to be alone., ela quer ficar sozinha ,ela quer ficar sozinha ,she wants to be alone 
419, Ele estava mentindo e difícil de se mover.,Ele estava mentindo e difícil de se mover.,He was lying and facing difficulty to move., ele estava mentindo e difícil de se mover ,ele estava mentindo e difícil de se mover ,he was lying and facing difficulty to move 
420, Dois homens que vestem chapéus andam por uma parede velha.,Dois homens que vestem chapéus andam por uma parede velha.,Two men wearing hats walk by an old wall., dois homens que vestem chapéus andam por uma parede velha ,dois homens que vestem chapéus andam por uma parede velha ,two men wearing hats walk by an old wall 
421, Uma mulher segura seus dois filhos no meio da multidão.,uma mulher segura seus dois filhos no meio da multidão.,A woman holds her two children in the middle of the crowd., uma mulher segura seus dois filhos no meio da multidão ,uma mulher segura seus dois filhos no meio da multidão ,a woman holds her two children in the middle of the crowd 
422, Mesmo de lado.,Mesmo de lado,Even by side., mesmo de lado ,mesmo de lado,even by side 
423, Saiba mais!,Saiba mais,Know more., saiba mais ,saiba mais,know more 
424, Dois jovens estão envolvidos em uma luta de almofadas ao ar livre na cidade.,Dois jovens estão envolvidos em uma luta de almofadas ao ar livre na cidade.,Two young men are involved in a pillow fight outdoors in the city., dois jovens estão envolvidos em uma luta de almofadas ao ar livre na cidade ,dois jovens estão envolvidos em uma luta de almofadas ao ar livre na cidade ,two young men are involved in a pillow fight outdoors in the city 
425, Um fã de Oz Osborne considera seu café da manhã.,Um fã de Ozzy Osbourne considera seu café da manhã.,A fan of Ozzy Osbourne thinks about his breakfast., um fã de oz osborne considera seu café da manhã ,um fã de ozzy osbourne considera seu café da manhã ,a fan of ozzy osbourne thinks about his breakfast 
426, Você sabe alguma coisa sobre isso?,Você sabe alguma coisa sobre isso?,Do you know anything about it?, você sabe alguma coisa sobre isso ,você sabe alguma coisa sobre isso ,do you know anything about it 
427, Este é um garoto com skate.,Este é um garoto com um skate,This is a boy with a skateboard., este é um garoto com skate ,este é um garoto com um skate,this is a boy with a skateboard 
428," Experiência é o melhor, professor.",Experiência é o melhor professor.,Experience is the best teacher., experiência é o melhor professor ,experiência é o melhor professor ,experience is the best teacher 
429, Uma criança corre para a câmera em um parque.,Uma criança corre para a câmera em um parque.,A child runs towards the camera in a park., uma criança corre para a câmera em um parque ,uma criança corre para a câmera em um parque ,a child runs towards the camera in a park 
430," Venha, deixe-me abraçar você.",Venha? deixe-me abraçar você!,Come on! Let me hug you., venha deixe me abraçar você ,venha deixe me abraçar você ,come on let me hug you 
431, Um homem em um capacete toca um instrumento elétrico.,Um homem em um capacete toca um instrumento elétrico.,A man in a helmet plays an electric instrument., um homem em um capacete toca um instrumento elétrico ,um homem em um capacete toca um instrumento elétrico ,a man in a helmet plays an electric instrument 
432, Uma mulher brinca ao vento com um cachorro marrom peludo.,Uma mulher brinca ao vento com um cachorro marrom peludo,A woman plays with a furry brown dog outdoors., uma mulher brinca ao vento com um cachorro marrom peludo ,uma mulher brinca ao vento com um cachorro marrom peludo,a woman plays with a furry brown dog outdoors 
433, Uma família com duas crianças está em uma disposição da loja.,Uma família com duas crianças está em uma exposição da loja.,A family with two children are at a store display., uma família com duas crianças está em uma disposição da loja ,uma família com duas crianças está em uma exposição da loja ,a family with two children are at a store display 
434, Adolescentes se divertindo.,Adolescentes se divertindo.,Teenagers having fun., adolescentes se divertindo ,adolescentes se divertindo ,teenagers having fun 
